"","face","mean.human","mean.mech","mean.emot","time","time.sd","low.emot"
"2","2",96.6666666666667,3.45454545454545,35.4545454545455,12.3675,11.3229545732786,0
"3","3",2,99.2121212121212,-6.42622950819672,11.0315,5.82127368964018,1
"4","4",14.7272727272727,85.3030303030303,-4.17460317460317,10.819,8.7033705562229,1
"5","5",20.9393939393939,88.5757575757576,7.53846153846154,11.886,7.60176751548221,1
"6","6",90.2424242424242,11.4242424242424,16.5909090909091,14.4895,8.7455864494739,0
"7","7",85.5757575757576,20.1515151515152,-44.0606060606061,13.309,9.66168281712566,1
"8","8",87.0606060606061,19.9090909090909,1.89230769230769,12.279,11.1827511022416,1
"9","9",21.8787878787879,82.6969696969697,6.78125,11.683,13.996180867258,1
"10","10",21.375,87.1212121212121,-6.28571428571429,10.8525,31.5087502519146,1
"11","11",33.6969696969697,79.9090909090909,-2.61904761904762,11.0355,12.6658819061619,1
"12","12",83.4848484848485,29.3030303030303,14.2121212121212,14.237,13.9079884363683,0
"13","13",89.2727272727273,16.5454545454545,10.7538461538462,13.93,19.4279918090531,0
"14","14",51.5625,56.030303030303,11.6515151515152,13.5955,11.7696455696705,0
"15","15",27,80.6666666666667,12.9384615384615,12.3875,10.6267461114296,0
"16","16",65.46875,60.9090909090909,-16.3538461538462,13.302,10.2970599348486,1
"17","17",61.2727272727273,69.0909090909091,2.421875,12.849,15.4939211092564,1
"18","18",69.0625,55.6363636363636,2.8,14.7225,28.9171522275779,1
"19","19",15.9090909090909,86.030303030303,15.7878787878788,11.9335,7.72126395635345,0
"20","20",89.7272727272727,14.6969696969697,-32.0606060606061,15.0755,16.5884904394977,1
"21","21",13.1212121212121,85.969696969697,-15.7878787878788,13.5525,9.22255268860918,1
"22","22",58.8787878787879,48.4848484848485,14.9545454545455,13.744,19.5587601761991,0
"23","23",14.4545454545455,95.4545454545455,30.0461538461538,11.891,8.98289285077649,0
"24","24",78.7272727272727,31.0606060606061,-26.6969696969697,13.8255,13.501672947331,1
"25","25",11.8181818181818,96.1212121212121,6.390625,12.057,11.3392639478196,1
"26","26",83.875,20.6060606060606,10.8615384615385,12,15.097120486655,0
"27","27",65.0606060606061,43.1515151515151,-78.530303030303,11.4425,9.93049105264287,1
"28","28",12.8484848484848,88.3333333333333,-0.40625,9.647,39.9661051779226,1
"29","29",21.0909090909091,84.4242424242424,47.5909090909091,12.863,11.8151277455665,0
"30","30",43.6969696969697,77.2424242424242,-5.49206349206349,11.3095,63.4773152018698,1
"31","31",16.8787878787879,86.6363636363636,27.1212121212121,11.814,11.2846781676138,0
"32","32",2.84848484848485,98.3333333333333,-7.69354838709677,9.591,11.1990957947943,1
"33","33",2.09090909090909,99.030303030303,-4.68253968253968,9.9285,11.8199707034551,1
"34","34",29.1515151515152,82.2424242424242,29.7121212121212,10.6875,11.9802033849203,0
"35","35",36.030303030303,85.6666666666667,-17.2121212121212,12.212,24.3135867828673,1
"36","36",85.9090909090909,18.9393939393939,36.9242424242424,12.495,10.6655578209784,0
"37","37",88.3030303030303,18.2424242424242,22.9230769230769,12.944,8.16152120705979,0
"38","38",10.1818181818182,88.8484848484848,-3.171875,9.8135,16.6535780599986,1
"39","39",17.2424242424242,87.969696969697,-2.28125,11.241,7.8552824799829,1
"40","40",39,75.7272727272727,-34.3636363636364,12.7055,10.660584482811,1
