"","survey_code","rating.variable","excluded","problems","age","educ","caucasian","hisp","black","middle.east","pacific.isl","native.am","south.asian","east.asian","southeast.asian","main.rating","emot","time.spent","face","female","seen.face.before"
"89284483.2",89284483,"human-like","","No",26,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,24,9.827,"2",1,0
"12519221.2",12519221,"mechanical","","No, I did experience any problems.",24,"b.HS.only",0,0,0,0,0,1,0,0,0,6,-2,23.491,"2",1,0
"61231826.2",61231826,"mechanical","","No. ",52,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,2,52,16.641,"2",1,0
"91817739.2",91817739,"mechanical","","No confusion, but on one of the robots (it resembeled an asian woman) I accidentally marked that it had an emotion that it was skewing towards negative when it was really a positive. It was more like a 44 on the positive scale.",28,"b.HS.only",0,1,0,0,0,0,0,0,0,8,-27,17.362,"2",0,0
"17171596.2",17171596,"human-like","","There was a bit of confusion about the question of if I've seen a robot face before doing the survey. You showed that collection of thumbnails before the rest of the questions started, and I did indeed see many of the faces I rated on that list, however I didn't consider that to be 'before' the survey. The thumbnails were, in my mind, part of the survey. I only said I saw a face before taking the survey if it was literally BEFORE clicking the link to this qualtrics page. I hope that's what you meant and that I didn't cause an issue with the results. If it's not what you meant, I'd say about 80% of the faces I saw I recognized from the thumbnail list.",27,"b.HS.only",1,0,0,0,0,0,0,0,0,100,40,18.905,"2",0,0
"47481076.2",47481076,"mechanical","","No",23,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,30,14.283,"2",1,0
"18104407.2",18104407,"mechanical","","I did not experience any confusion or technial problems.",33,"b.HS.only",1,0,0,0,0,0,0,0,0,0,60,28.704,"2",1,0
"28902932.2",28902932,"mechanical","","The survey went smoothly - all images were clear. ",55,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,35,36.543,"2",0,0
"85501883.2",85501883,"human-like","","No.",35,"Post.Grad.Degree",0,0,0,0,0,1,0,0,0,86,21,11.848,"2",1,0
"69719298.2",69719298,"human-like","","no",46,"b.HS.only",1,0,0,0,0,0,0,0,0,100,58,12.372,"2",1,1
"80907912.2",80907912,"mechanical","","No issues, thank you.",29,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,100,25.06,"2",1,0
"81351852.2",81351852,"mechanical","","No",21,"c.2.Yr.Coll",0,0,0,0,0,1,0,0,0,0,15,37.651,"2",1,0
"20105010.2",20105010,"human-like","","No",30,"b.HS.only",1,0,0,0,0,0,0,0,0,100,19,7.406,"2",1,0
"75328488.2",75328488,"human-like","","no",30,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,75,20,20.343,"2",0,0
"51854224.2",51854224,"mechanical","","no",37,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,12,24.709,"2",1,0
"87631866.2",87631866,"human-like","","No. Everything went fine. Thanks. ",44,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,97,54,8.114,"2",1,0
"65318898.2",65318898,"human-like","","It wouldn't pop up in another screen but besides that it worked fine.",40,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,100,42,14.874,"2",1,0
"87693660.2",87693660,"mechanical","","no",39,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,56,13.05,"2",1,0
"55545755.2",55545755,"mechanical","","no.",21,"c.2.Yr.Coll",0,0,0,0,0,0,0,1,0,0,70,13.131,"2",1,0
"97096318.2",97096318,"human-like","","No issues.  It all ran smooth and was a fun and different type of HIT.",44,"b.HS.only",1,0,0,0,0,0,0,0,0,88,53,8.794,"2",0,0
"61903904.2",61903904,"mechanical","","no",47,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,62,7.921,"2",1,0
"93999607.2",93999607,"mechanical","","none",31,"b.HS.only",1,0,0,0,0,0,0,0,0,0,70,20.126,"2",1,0
"87082835.2",87082835,"human-like","","no",44,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,100,-10,17.869,"2",1,0
"50542028.2",50542028,"human-like","","no",24,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,73,26,6.281,"2",0,0
"66511201.2",66511201,"human-like","","No",27,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,100,1,11.865,"2",0,1
"10067756.2",10067756,"mechanical","","",24,"b.HS.only",1,0,0,0,0,0,0,0,0,0,-30,24.426,"2",0,0
"10870722.2",10870722,"mechanical","","none",35,"b.HS.only",1,0,0,0,0,0,0,0,0,14,-15,27.799,"2",0,0
"21990744.2",21990744,"human-like","","No Technical Problems",26,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,100,30,13.271,"2",0,0
"49204422.2",49204422,"mechanical","","none",34,"d.4.Yr.Coll",0,1,0,0,0,0,0,0,0,0,100,22.871,"2",0,0
"57540092.3",57540092,"human-like","","",21,"c.2.Yr.Coll",0,1,0,0,0,0,0,0,0,0,0,5.629,"3",0,0
"90848727.3",90848727,"human-like","","no",18,"b.HS.only",1,0,0,0,0,0,0,0,0,0,-20,5.159,"3",0,0
"52139761.3",52139761,"mechanical","","no",25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,100,0,9.682,"3",0,0
"22126544.3",22126544,"human-like","","I wasn't sure if the last question (Do you think you've seen this face before this survey) applied to previous questions or more generally in my life. ",19,"b.HS.only",1,0,0,0,0,0,0,0,0,0,NA,6.003,"3",0,0
"98199656.3",98199656,"mechanical","","no",19,"b.HS.only",1,0,0,0,0,0,0,0,0,100,0,5.278,"3",1,0
"87459225.3",87459225,"human-like","","None",25,"d.4.Yr.Coll",0,0,0,0,0,1,0,0,0,0,0,6.727,"3",0,0
