"","id","experiment","problems","too.many.faces","age","educ","caucasian","hisp","black","middle.east","pacific.isl","native.am","south.asian","east.asian","southeast.asian","female","exclude","time","main.rating","time.spent","seen.before","face"
"QTRX53872347.14","QTRX53872347","trust","No confusion or technical problems.",0,27,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",14,25,9.715,2,"15"
"QTRX57525859.14","QTRX57525859","trust","No",1,31,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",14,40,8.408,1,"15"
"QTRX53599615.14","QTRX53599615","trust","No issues whatsoever - Thank you ",0,45,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",14,50,7.824,2,"15"
"QTRX13425059.14","QTRX13425059","trust","I did not have any technical difficulties",0,23,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",14,25,17.121,2,"15"
"QTRX30240624.14","QTRX30240624","trust","No",0,32,"b.HS.only",0,1,0,0,0,0,0,0,0,1,"no",14,40,17.393,1,"15"
"QTRX97905897.14","QTRX97905897","trust","No",0,30,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",14,5,11.888,2,"15"
"QTRX52672450.14","QTRX52672450","trust","No",0,29,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",14,12,6.207,2,"15"
"QTRX68670318.14","QTRX68670318","trust","No.",0,41,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",14,25,4.895,2,"15"
"QTRX71801122.14","QTRX71801122","trust","",1,28,"Post.Grad.Degree",0,0,0,0,1,0,0,0,0,0,"no",14,100,9.302,2,"15"
"QTRX39603397.14","QTRX39603397","trust","No.",1,27,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",14,40,3.699,2,"15"
"QTRX33247254.14","QTRX33247254","trust","No",0,35,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",14,60,7.157,2,"15"
"QTRX28674078.14","QTRX28674078","trust",NA,1,27,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",14,100,5.142,2,"15"
"QTRX57255627.14","QTRX57255627","trust","no",1,32,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",14,28,3.417,2,"15"
"QTRX79086053.14","QTRX79086053","trust","No",0,NA,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",14,15,8.765,2,"15"
"QTRX77575206.14","QTRX77575206","trust","No there was no confusion or technical problems with this questionnaire.",0,59,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",14,29,6.148,2,"15"
"QTRX13553354.14","QTRX13553354","trust","no",0,21,"d.4.Yr.Coll",0,0,0,0,0,1,0,0,0,1,"no",14,100,10.716,2,"15"
"QTRX72015872.14","QTRX72015872","trust","no",0,21,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",14,56,3.325,2,"15"
"QTRX20805468.15","QTRX20805468","trust","no",0,40,"c.2.Yr.Coll",0,1,0,0,0,0,0,0,0,1,"no",15,4,12.999,2,"16"
"QTRX52111973.15","QTRX52111973","trust","no",0,19,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",15,5,9.076,2,"16"
"QTRX47887265.15","QTRX47887265","trust","I didnt know that you had to bet at least $1",0,19,"b.HS.only",0,1,0,0,0,0,0,0,0,0,"no",15,10,18.505,2,"16"
"QTRX26776027.15","QTRX26776027","trust","None",0,32,"d.4.Yr.Coll",0,0,0,0,0,1,0,0,0,1,"no",15,0,7.413,2,"16"
"QTRX92933486.15","QTRX92933486","trust","no",0,22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",15,25,7.376,1,"16"
"QTRX37007386.15","QTRX37007386","trust","",1,25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,84,5.727,2,"16"
"QTRX61008991.15","QTRX61008991","trust","no",0,39,"d.4.Yr.Coll",0,1,0,0,0,0,0,0,0,0,"no",15,30,6.836,2,"16"
"QTRX49252279.15","QTRX49252279","trust","",0,27,"Post.Grad.Degree",0,0,0,0,0,1,0,0,0,1,"no",15,100,11.933,2,"16"
"QTRX18302977.15","QTRX18302977","trust","Nope",0,37,"b.HS.only",0,0,0,0,0,0,0,1,0,0,"no",15,27,20.545,2,"16"
"QTRX62455825.15","QTRX62455825","trust","No.",0,35,"d.4.Yr.Coll",0,1,0,0,0,0,0,0,0,0,"no",15,7,15.708,2,"16"
"QTRX62467888.15","QTRX62467888","trust","No",0,22,"d.4.Yr.Coll",0,0,0,0,0,1,0,0,0,0,"no",15,42,4.874,2,"16"
"QTRX98846530.15","QTRX98846530","trust","no",0,58,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",15,34,11.233,2,"16"
"QTRX97679878.15","QTRX97679878","trust","No",0,25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,45,5.447,2,"16"
"QTRX18099778.15","QTRX18099778","trust","No",0,21,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,29,4.69,2,"16"
"QTRX10316751.15","QTRX10316751","trust","no",0,25,"b.HS.only",0,1,0,0,0,0,0,0,0,1,"no",15,0,13.905,2,"16"
"QTRX65553864.15","QTRX65553864","trust","",0,18,"b.HS.only",1,0,0,0,1,0,0,0,0,0,"no",15,18,6.585,2,"16"
"QTRX41371961.15","QTRX41371961","trust","Nope",0,26,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",15,0,5.948,2,"16"
"QTRX30012799.15","QTRX30012799","trust","No confusion or tecnical problem.",0,22,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,0,"no",15,10,10.715,2,"16"
"QTRX57838419.15","QTRX57838419","trust","none",0,30,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,29,7.129,2,"16"
"QTRX58792475.15","QTRX58792475","trust","",0,27,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",15,4,6.648,2,"16"
"QTRX40774190.15","QTRX40774190","trust","No I did not",0,23,"d.4.Yr.Coll",0,0,0,1,0,0,0,0,0,0,"no",15,8,10.984,2,"16"
"QTRX76649076.15","QTRX76649076","trust","no",1,32,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",15,1,14.656,2,"16"
"QTRX90696451.15","QTRX90696451","trust","no",0,36,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",15,50,17.064,2,"16"
"QTRX97496038.15","QTRX97496038","trust","no",1,26,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",15,8,14.612,2,"16"
"QTRX42032396.15","QTRX42032396","trust","no",0,36,"b.HS.only",0,0,0,0,0,0,0,0,1,0,"no",15,10,7.823,2,"16"
"QTRX60974571.15","QTRX60974571","trust","no",0,54,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",15,100,8.171,2,"16"
"QTRX20008129.15","QTRX20008129","trust","No.",0,53,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",15,25,11.846,2,"16"
"QTRX58324770.15","QTRX58324770","trust","no",0,51,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,18,5.639,2,"16"
"QTRX36914526.15","QTRX36914526","trust","No",0,21,"b.HS.only",0,0,0,0,0,0,1,0,0,0,"no",15,20,24.354,2,"16"
"QTRX64739925.15","QTRX64739925","trust","",0,31,"d.4.Yr.Coll",1,0,0,0,0,1,0,0,0,0,"no",15,100,2.714,2,"16"
"QTRX48133757.15","QTRX48133757","trust","no",0,31,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,10,11.252,2,"16"
"QTRX47135591.15","QTRX47135591","trust","no",0,36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,100,9.129,2,"16"
"QTRX20587577.15","QTRX20587577","trust","no",0,27,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",15,30,8.233,2,"16"
"QTRX80323912.15","QTRX80323912","trust","No",0,55,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",15,0,9.131,2,"16"
"QTRX49627740.15","QTRX49627740","trust","",0,25,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",15,9,3.693,2,"16"
"QTRX10565961.15","QTRX10565961","trust","No",0,23,"d.4.Yr.Coll",0,0,1,0,0,0,0,0,0,1,"no",15,1,5.296,2,"16"
"QTRX96769745.15","QTRX96769745","trust","No",0,36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,18,4.444,2,"16"
"QTRX80473170.15","QTRX80473170","trust","No.",0,33,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",15,49,9.777,2,"16"
"QTRX30767986.15","QTRX30767986","trust","no",0,47,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",15,28,9.614,2,"16"
"QTRX60356191.15","QTRX60356191","trust","no",0,24,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,21,3.629,2,"16"
"QTRX79279019.15","QTRX79279019","trust","no",0,33,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",15,0,6.808,2,"16"
"QTRX53599615.15","QTRX53599615","trust","No issues whatsoever - Thank you ",0,45,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,9,8.403,2,"16"
"QTRX80098260.15","QTRX80098260","trust","The survey ran fine",0,23,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",15,20,4.88,2,"16"
"QTRX97905897.15","QTRX97905897","trust","No",0,30,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",15,1,13.366,2,"16"
"QTRX25311047.15","QTRX25311047","trust","No none.",0,62,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",15,20,14.847,2,"16"
"QTRX87520097.15","QTRX87520097","trust","no",0,33,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,50,6.643,1,"16"
"QTRX42460209.15","QTRX42460209","trust","The survey loaded very slowly.",0,22,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",15,40,3.11,2,"16"
"QTRX84464085.15","QTRX84464085","trust","",0,37,"d.4.Yr.Coll",1,0,0,0,0,1,0,0,0,0,"no",15,0,35.843,2,"16"
"QTRX59839727.15","QTRX59839727","trust","No",0,38,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,15,34.562,2,"16"
"QTRX56640858.15","QTRX56640858","trust","No.",0,46,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",15,25,11.331,2,"16"
"QTRX48822051.15","QTRX48822051","trust","No.",0,25,"a.No.HS",0,1,0,0,0,0,0,0,0,0,"no",15,20,6.165,2,"16"
"QTRX55301995.15","QTRX55301995","trust","No",0,20,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",15,40,7.596,2,"16"
"QTRX48121535.15","QTRX48121535","trust","No",0,25,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",15,57,4.085,2,"16"
"QTRX69587149.15","QTRX69587149","trust","No",0,29,"Post.Grad.Degree",0,0,0,0,1,0,0,0,0,1,"no",15,20,6.257,2,"16"
"QTRX18811355.15","QTRX18811355","trust","No",0,22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,100,6.538,2,"16"
"QTRX51951610.15","QTRX51951610","trust","No",0,27,"Post.Grad.Degree",0,1,0,0,0,0,0,0,0,1,"no",15,30,4.063,2,"16"
"QTRX37825100.15","QTRX37825100","trust","no",0,23,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,30,13.8,2,"16"
"QTRX79086053.15","QTRX79086053","trust","No",0,NA,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",15,0,4.137,2,"16"
"QTRX68937973.15","QTRX68937973","trust","No, no confusion or problems.",0,23,"Post.Grad.Degree",1,0,0,0,0,0,0,0,1,0,"no",15,14,5.26,2,"16"
"QTRX47320448.15","QTRX47320448","trust","No",0,28,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",15,39,11.943,2,"16"
"QTRX41957044.15","QTRX41957044","trust","no",0,55,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",15,80,8.943,2,"16"
"QTRX19097584.15","QTRX19097584","trust","No",0,55,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",15,25,9.516,2,"16"
"QTRX55787354.15","QTRX55787354","trust","no",0,74,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",15,15,14.378,2,"16"
"QTRX24894697.15","QTRX24894697","trust","",0,28,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",15,0,4.525,2,"16"
"QTRX96255621.16","QTRX96255621","trust","No i didnt",0,22,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",16,52,4.158,1,"17"
"QTRX70286191.16","QTRX70286191","trust","no",0,46,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,54,4.79,1,"17"
"QTRX52111973.16","QTRX52111973","trust","no",0,19,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",16,10,6.211,2,"17"
"QTRX46355973.16","QTRX46355973","trust","",0,23,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",16,15,11.649,1,"17"
"QTRX13028870.16","QTRX13028870","trust","nope",0,35,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,1,"no",16,61,7.271,1,"17"
"QTRX92933486.16","QTRX92933486","trust","no",0,22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",16,16,17.721,2,"17"
"QTRX25119885.16","QTRX25119885","trust","no",0,34,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",16,40,9.545,1,"17"
"QTRX68770015.16","QTRX68770015","trust","none",0,28,"b.HS.only",0,1,0,0,0,0,0,0,0,0,"no",16,100,3.916,1,"17"
"QTRX20354503.16","QTRX20354503","trust","There were no problems with the survey",0,30,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,1,"no",16,52,10.376,2,"17"
"QTRX16766874.16","QTRX16766874","trust","No",0,28,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,97,10.931,1,"17"
"QTRX95244958.16","QTRX95244958","trust","no",0,21,"b.HS.only",0,0,0,0,0,1,0,0,0,1,"no",16,25,6.423,2,"17"
"QTRX28531853.16","QTRX28531853","trust","no",0,28,"b.HS.only",1,0,0,0,0,0,0,0,1,0,"no",16,100,3.092,1,"17"
"QTRX18455116.16","QTRX18455116","trust","No",0,24,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,40,4.265,1,"17"
"QTRX62467888.16","QTRX62467888","trust","No",0,22,"d.4.Yr.Coll",0,0,0,0,0,1,0,0,0,0,"no",16,33,17.063,1,"17"
"QTRX18099778.16","QTRX18099778","trust","No",0,21,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,80,6.147,2,"17"
"QTRX75743596.16","QTRX75743596","trust","",0,22,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",16,10,20.696,1,"17"
"QTRX12511085.16","QTRX12511085","trust","No",0,25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,33,6.814,2,"17"
"QTRX38082285.16","QTRX38082285","trust","no",1,30,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,80,3.84,1,"17"
"QTRX49184364.16","QTRX49184364","trust","None",0,24,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",16,59,5.458,1,"17"
"QTRX78266396.16","QTRX78266396","trust","No I did not experience any confusion although I'm curious as to what see the faces before had to do with the study.",0,21,"b.HS.only",0,1,0,0,0,0,0,0,0,1,"no",16,80,7.445,1,"17"
"QTRX41371961.16","QTRX41371961","trust","Nope",0,26,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",16,30,16.816,1,"17"
"QTRX80346312.16","QTRX80346312","trust","not at all",0,26,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,40,12.192,1,"17"
"QTRX78913963.16","QTRX78913963","trust","I'd already forgotten that there would be $100 for each robot, rather than $100 to wager with all robots...",0,34,"c.2.Yr.Coll",0,0,0,0,1,0,0,0,0,0,"no",16,10,6.787,2,"17"
"QTRX70334101.16","QTRX70334101","trust","No",0,20,"c.2.Yr.Coll",0,0,0,0,0,0,0,0,1,0,"no",16,100,9.938,1,"17"
"QTRX41951235.16","QTRX41951235","trust","No",1,22,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",16,20,16.427,2,"17"
"QTRX79017804.16","QTRX79017804","trust","No",0,22,"b.HS.only",0,0,0,0,0,0,0,1,0,1,"no",16,60,13.355,1,"17"
"QTRX94822915.16","QTRX94822915","trust","no",0,29,"d.4.Yr.Coll",1,0,0,1,0,0,1,0,0,0,"no",16,40,7.556,1,"17"
"QTRX48090690.16","QTRX48090690","trust","No",0,34,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,60,4.739,2,"17"
"QTRX37970234.16","QTRX37970234","trust","I did not experience any technical problems or confusion with the questionnaire",0,33,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",16,9,7.074,1,"17"
"QTRX12870353.16","QTRX12870353","trust","no",0,31,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",16,100,21.953,1,"17"
"QTRX92408245.16","QTRX92408245","trust","no",0,63,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",16,30,8.233,2,"17"
"QTRX60974571.16","QTRX60974571","trust","no",0,54,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",16,100,10.609,2,"17"
"QTRX93566461.16","QTRX93566461","trust","none",0,22,"b.HS.only",0,0,0,0,0,0,0,1,0,0,"no",16,29,7.168,1,"17"
"QTRX58324770.16","QTRX58324770","trust","no",0,51,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,81,5.704,2,"17"
"QTRX36914526.16","QTRX36914526","trust","No",0,21,"b.HS.only",0,0,0,0,0,0,1,0,0,0,"no",16,15,6.143,2,"17"
"QTRX71628841.16","QTRX71628841","trust","No",0,34,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",16,100,2.784,2,"17"
"QTRX47135591.16","QTRX47135591","trust","no",0,36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,5,15.387,2,"17"
"QTRX56547279.16","QTRX56547279","trust","no",0,24,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",16,8,5.45,2,"17"
"QTRX80323912.16","QTRX80323912","trust","No",0,55,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",16,10,16.451,2,"17"
"QTRX16176507.16","QTRX16176507","trust","none",0,26,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",16,100,7.189,1,"17"
"QTRX10565961.16","QTRX10565961","trust","No",0,23,"d.4.Yr.Coll",0,0,1,0,0,0,0,0,0,1,"no",16,2,7.082,1,"17"
"QTRX37596073.16","QTRX37596073","trust","no",0,22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,60,4.683,1,"17"
"QTRX30179327.16","QTRX30179327","trust","No confusion or technical problems.",0,30,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",16,5,5.16,1,"17"
"QTRX64148840.16","QTRX64148840","trust","No",0,26,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",16,36,5.361,2,"17"
"QTRX44674811.16","QTRX44674811","trust","The instructions at the beginning of the game were very confusing. I needed to read through them three times before I understood what was going on.",0,32,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",16,70,9.334,1,"17"
"QTRX12858042.16","QTRX12858042","trust","No",1,37,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",16,85,4.86,2,"17"
"QTRX51895927.16","QTRX51895927","trust","No",0,52,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,71,38.299,1,"17"
"QTRX44518834.16","QTRX44518834","trust","No, but I decided not to wager anything and keep my money because I do not trust robots. ",0,27,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,1,"no",16,0,2.157,1,"17"
"QTRX70762355.16","QTRX70762355","trust","No.",0,18,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",16,70,7.134,1,"17"
"QTRX72198509.16","QTRX72198509","trust","None",0,47,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",16,80,15.776,1,"17"
"QTRX52672450.16","QTRX52672450","trust","No",0,29,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",16,18,4.759,1,"17"
"QTRX18811355.16","QTRX18811355","trust","No",0,22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,100,9.037,1,"17"
"QTRX75048209.16","QTRX75048209","trust","No I did not although it seems to be a strange survey.",0,25,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",16,100,11.009,1,"17"
"QTRX63253795.16","QTRX63253795","trust","Yes. Not sure when I would have seen those robots.",0,22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",16,10,16.265,2,"17"
"QTRX95065027.16","QTRX95065027","trust","No",1,22,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",16,50,7.881,2,"17"
"QTRX19097584.16","QTRX19097584","trust","No",0,55,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",16,55,13.553,1,"17"
"QTRX66915200.16","QTRX66915200","trust","No",0,39,"Post.Grad.Degree",0,1,0,0,0,0,0,0,0,1,"no",16,0,6.356,2,"17"
"QTRX60004253.16","QTRX60004253","trust","no",0,36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",16,30,3.474,2,"17"
"QTRX72521536.17","QTRX72521536","trust","No",0,34,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",17,50,13.281,2,"18"
"QTRX61830751.17","QTRX61830751","trust","No",0,27,"c.2.Yr.Coll",0,1,0,0,0,0,0,0,0,0,"no",17,74,2.298,1,"18"
"QTRX46355973.17","QTRX46355973","trust","",0,23,"b.HS.only",1,0,0,0,0,0,0,0,0,0,"no",17,30,22.591,2,"18"
"QTRX25119885.17","QTRX25119885","trust","no",0,34,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",17,20,11.947,2,"18"
"QTRX81445432.17","QTRX81445432","trust","no",0,53,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",17,40,8.109,2,"18"
"QTRX20354503.17","QTRX20354503","trust","There were no problems with the survey",0,30,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,1,"no",17,31,17.339,2,"18"
"QTRX49252279.17","QTRX49252279","trust","",0,27,"Post.Grad.Degree",0,0,0,0,0,1,0,0,0,1,"no",17,80,9.852,2,"18"
"QTRX73189647.17","QTRX73189647","trust","No.",0,18,"a.No.HS",1,0,0,0,0,0,0,0,0,0,"no",17,5,9.215,2,"18"
"QTRX18302977.17","QTRX18302977","trust","Nope",0,37,"b.HS.only",0,0,0,0,0,0,0,1,0,0,"no",17,50,15.85,2,"18"
"QTRX59824383.17","QTRX59824383","trust","no",0,62,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",17,0,12.042,2,"18"
"QTRX17178341.17","QTRX17178341","trust","No",0,24,"c.2.Yr.Coll",0,1,0,0,0,0,0,0,0,0,"no",17,7,3.439,2,"18"
"QTRX44288493.17","QTRX44288493","trust","No.",0,34,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",17,30,10.043,2,"18"
"QTRX43584047.17","QTRX43584047","trust","Computer mouse died in the middle, had to go get a spare mouse and hook up so I could finish the study that is why there is a gap of time in the middle between some of the answers while I went and got my spare mouse.",0,41,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",17,100,7.414,2,"18"
"QTRX53435614.17","QTRX53435614","trust","Nope.",0,25,"d.4.Yr.Coll",0,0,0,0,0,1,0,0,0,0,"no",17,50,9.611,1,"18"
"QTRX74261869.17","QTRX74261869","trust","No",0,45,"d.4.Yr.Coll",0,0,0,0,1,0,0,0,0,0,"no",17,60,11.502,1,"18"
"QTRX63140496.17","QTRX63140496","trust","No",0,19,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",17,100,10.314,2,"18"
"QTRX47420836.17","QTRX47420836","trust","no",0,42,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",17,50,3.933,2,"18"
"QTRX30012799.17","QTRX30012799","trust","No confusion or tecnical problem.",0,22,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,0,"no",17,50,32.164,2,"18"
"QTRX68321958.17","QTRX68321958","trust","one screen paused and would load the next screen after I submited my answer. it eventually loaded. ",0,34,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",17,20,7.653,1,"18"
"QTRX41951235.17","QTRX41951235","trust","No",1,22,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",17,10,58.335,2,"18"
"QTRX79017804.17","QTRX79017804","trust","No",0,22,"b.HS.only",0,0,0,0,0,0,0,1,0,1,"no",17,50,13.024,2,"18"
"QTRX72777706.17","QTRX72777706","trust","",0,30,"d.4.Yr.Coll",0,0,0,1,0,0,1,0,0,0,"no",17,40,25.251,1,"18"
"QTRX12926513.17","QTRX12926513","trust","no",0,56,"b.HS.only",1,0,0,0,0,0,0,0,0,1,"no",17,19,10.404,2,"18"
"QTRX47135591.17","QTRX47135591","trust","no",0,36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",17,100,2.11,2,"18"
"QTRX37812183.17","QTRX37812183","trust","",0,36,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",17,34,5.332,2,"18"
"QTRX50692798.17","QTRX50692798","trust","No none that I know of.",1,36,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",17,99,462.701,1,"18"
"QTRX16176507.17","QTRX16176507","trust","none",0,26,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",17,100,9.971,2,"18"
"QTRX81436699.17","QTRX81436699","trust","No, everything went fine",0,69,"c.2.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",17,30,29.246,2,"18"
"QTRX36295758.17","QTRX36295758","trust","none",0,39,"c.2.Yr.Coll",0,1,0,0,0,0,0,0,0,1,"no",17,20,8.221,1,"18"
"QTRX79504793.17","QTRX79504793","trust","No issues while completing the survey.",0,29,"c.2.Yr.Coll",0,0,0,0,0,0,0,0,1,0,"no",17,0,4.061,2,"18"
"QTRX37596073.17","QTRX37596073","trust","no",0,22,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,0,"no",17,40,5.376,1,"18"
"QTRX38297642.17","QTRX38297642","trust","no",0,61,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,0,"no",17,19,46.078,1,"18"
"QTRX80473170.17","QTRX80473170","trust","No.",0,33,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",17,50,6.834,2,"18"
"QTRX45213333.17","QTRX45213333","trust","No",0,28,"Post.Grad.Degree",1,0,0,0,0,0,0,0,0,1,"no",17,50,5.608,2,"18"
"QTRX98240380.17","QTRX98240380","trust","None",0,56,"d.4.Yr.Coll",1,0,0,0,0,0,0,0,0,1,"no",17,30,13.676,2,"18"
"QTRX44518834.17","QTRX44518834","trust","No, but I decided not to wager anything and keep my money because I do not trust robots. ",0,27,"d.4.Yr.Coll",0,0,0,0,0,0,0,0,1,1,"no",17,0,3.114,2,"18"
